"p","K","nu","delta","sparse","alpha","independent","ARL","CAD","PFA","power","stream_1_ARL","stream_2_ARL","stream_3_ARL","stream_4_ARL","stream_5_ARL","stream_6_ARL","stream_7_ARL","stream_8_ARL","stream_9_ARL","stream_10_ARL","stream_1_CAD","stream_2_CAD","stream_3_CAD","stream_4_CAD","stream_5_CAD","stream_6_CAD","stream_7_CAD","stream_8_CAD","stream_9_CAD","stream_10_CAD"
0,2,100,0.0139495079396242,FALSE,1e-04,TRUE,443.793333333333,343.793333333333,0,1,564.473333333333,583.283333333333,NA,NA,NA,NA,NA,NA,NA,NA,464.473333333333,483.283333333333,NA,NA,NA,NA,NA,NA,NA,NA
1,2,100,0.0139495079396242,FALSE,1e-04,TRUE,274.61,175.163333333333,0.00333333333333333,1,352.523333333333,334.546666666667,NA,NA,NA,NA,NA,NA,NA,NA,252.523333333333,235.1,NA,NA,NA,NA,NA,NA,NA,NA
0,10,100,0.0139495079396242,FALSE,1e-04,TRUE,907.333333333333,807.333333333333,0,1,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1616.37362637363,1648.52571428571,1563.52298850575,1732.94382022472,1565.62573099415,1631.94791666667,1641.57923497268,1623.74712643678,1638.49180327869,1584.04469273743
1,10,100,0.0139495079396242,FALSE,1e-04,TRUE,304.223333333333,204.223333333333,0,1,620.483333333333,618.423333333333,606.58,621.076666666667,610.406666666667,584.763333333333,620.613333333333,609.18,609.956666666667,622.75,520.483333333333,518.423333333333,506.58,521.076666666667,510.406666666667,484.763333333333,520.613333333333,509.18,509.956666666667,522.75
0,2,100,0.0164754897244207,FALSE,1e-04,TRUE,365.07,265.07,0,1,456.426666666667,464.236666666667,NA,NA,NA,NA,NA,NA,NA,NA,356.426666666667,364.236666666667,NA,NA,NA,NA,NA,NA,NA,NA
1,2,100,0.0164754897244207,FALSE,1e-04,TRUE,256.113333333333,156.113333333333,0,1,311.383333333333,323.52,NA,NA,NA,NA,NA,NA,NA,NA,211.383333333333,223.52,NA,NA,NA,NA,NA,NA,NA,NA
0,10,100,0.0164754897244207,FALSE,1e-04,TRUE,742.853333333333,642.853333333333,0,1,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1470.79475982533,1492.62211981567,1493.47325102881,1511.89285714286,1428.82222222222,1478.05194805195,1574.54028436019,1438.54077253219,1474.48034934498,1515.77578475336
1,10,100,0.0164754897244207,FALSE,1e-04,TRUE,292.02,192.02,0,1,589.913333333333,564.203333333333,594.326666666667,580.65,583.09,571.043333333333,599.136666666667,589.036666666667,562.156666666667,592.6,489.913333333333,464.203333333333,494.326666666667,480.65,483.09,471.043333333333,499.136666666667,489.036666666667,462.156666666667,492.6
0,2,100,0.0194588771757639,FALSE,1e-04,TRUE,315.21,215.21,0,1,379.683333333333,389.693333333333,NA,NA,NA,NA,NA,NA,NA,NA,279.683333333333,289.693333333333,NA,NA,NA,NA,NA,NA,NA,NA
1,2,100,0.0194588771757639,FALSE,1e-04,TRUE,236.846666666667,136.846666666667,0,1,285.196666666667,281.693333333333,NA,NA,NA,NA,NA,NA,NA,NA,185.196666666667,181.693333333333,NA,NA,NA,NA,NA,NA,NA,NA
0,10,100,0.0194588771757639,FALSE,1e-04,TRUE,635.95,535.95,0,1,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1299.8731884058,1348.34701492537,1331.89393939394,1296.82835820896,1370.25660377358,1335.63970588235,1253.98846153846,1315.85357142857,1367.26978417266,1361.48880597015
1,10,100,0.0194588771757639,FALSE,1e-04,TRUE,276.906666666667,176.906666666667,0,1,536.753333333333,539.15,540.486666666667,538.793333333333,524.256666666667,541.663333333333,514.793333333333,532.236666666667,529.473333333333,520.566666666667,436.753333333333,439.15,440.486666666667,438.793333333333,424.256666666667,441.663333333333,414.793333333333,432.236666666667,429.473333333333,420.566666666667
0,2,100,0.0229824974720003,FALSE,1e-04,TRUE,266.646666666667,166.646666666667,0,1,318.56,312.13,NA,NA,NA,NA,NA,NA,NA,NA,218.56,212.13,NA,NA,NA,NA,NA,NA,NA,NA
1,2,100,0.0229824974720003,FALSE,1e-04,TRUE,219.053333333333,119.053333333333,0,1,263.116666666667,267.893333333333,NA,NA,NA,NA,NA,NA,NA,NA,163.116666666667,167.893333333333,NA,NA,NA,NA,NA,NA,NA,NA
0,10,100,0.0229824974720003,FALSE,1e-04,TRUE,520.72,420.72,0,1,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1073.8277027027,1067.1593220339,1072.79655172414,1028.0275862069,1102.63050847458,1046.47118644068,1166.16494845361,1134.43493150685,1065.47781569966,1059.53633217993
1,10,100,0.0229824974720003,FALSE,1e-04,TRUE,264.623333333333,165.37,0.00333333333333333,1,507.66,493.873333333333,508.973333333333,508.106666666667,505.653333333333,497.793333333333,515.34,507.006666666667,487.46,498.38,408.833333333333,393.873333333333,408.973333333333,408.106666666667,405.653333333333,397.793333333333,415.34,407.006666666667,387.46,398.38
0,2,100,0.0271441761659491,FALSE,1e-04,TRUE,235.49,135.49,0,1,270.416666666667,268.293333333333,NA,NA,NA,NA,NA,NA,NA,NA,170.416666666667,168.293333333333,NA,NA,NA,NA,NA,NA,NA,NA
1,2,100,0.0271441761659491,FALSE,1e-04,TRUE,201.916666666667,102.293333333333,0.00333333333333333,1,239.04,237.376666666667,NA,NA,NA,NA,NA,NA,NA,NA,139.693333333333,137.376666666667,NA,NA,NA,NA,NA,NA,NA,NA
