"p","K","nu","delta","sparse","alpha","criterion","independent","detector","combine","ARL","CAD","PFA","power"
1,2,10,0.0139495079396242,FALSE,1e-04,"ARL",TRUE,"oracle","joint",427.903333333333,417.903333333333,0,1
1,2,10,0.0139495079396242,FALSE,1e-04,"ARL",TRUE,"misspec","joint",Inf,1276.448,0.00333333333333333,0.416666666666667
1,2,10,0.0139495079396242,FALSE,1e-04,"ARL",TRUE,"bounded","average",340.976666666667,330.976666666667,0,1
1,2,10,0.0139495079396242,FALSE,1e-04,"ARL",TRUE,"bounded","product",230.113333333333,220.113333333333,0,1
0,10,10,0.0139495079396242,FALSE,1e-04,"ARL",TRUE,"oracle","joint",182.906666666667,172.906666666667,0,1
0,10,10,0.0139495079396242,FALSE,1e-04,"ARL",TRUE,"misspec","joint",Inf,1459.61538461538,0,0.0433333333333333
0,10,10,0.0139495079396242,FALSE,1e-04,"ARL",TRUE,"bounded","average",813.883333333333,803.883333333333,0,1
0,10,10,0.0139495079396242,FALSE,1e-04,"ARL",TRUE,"bounded","product",270.5,260.5,0,1
1,10,10,0.0139495079396242,FALSE,1e-04,"ARL",TRUE,"oracle","joint",419.336666666667,409.336666666667,0,1
1,10,10,0.0139495079396242,FALSE,1e-04,"ARL",TRUE,"misspec","joint",Inf,1744.88461538462,0.953333333333333,0.0866666666666667
1,10,10,0.0139495079396242,FALSE,1e-04,"ARL",TRUE,"bounded","average",742.243333333333,732.243333333333,0,1
1,10,10,0.0139495079396242,FALSE,1e-04,"ARL",TRUE,"bounded","product",143.346666666667,133.346666666667,0,1
0,2,1000,0.0139495079396242,FALSE,1e-04,"ARL",TRUE,"oracle","joint",1117.24,159.22,0.07,1
0,2,1000,0.0139495079396242,FALSE,1e-04,"ARL",TRUE,"misspec","joint",Inf,815.393939393939,0.0233333333333333,0.22
0,2,1000,0.0139495079396242,FALSE,1e-04,"ARL",TRUE,"bounded","average",1472.91333333333,472.913333333333,0,1
0,2,1000,0.0139495079396242,FALSE,1e-04,"ARL",TRUE,"bounded","product",1345.64333333333,354.48,0.0133333333333333,1
1,2,1000,0.0139495079396242,FALSE,1e-04,"ARL",TRUE,"oracle","joint",1292.59333333333,321.916666666667,0.05,1
1,2,1000,0.0139495079396242,FALSE,1e-04,"ARL",TRUE,"misspec","joint",Inf,883.46,0.04,0.333333333333333
1,2,1000,0.0139495079396242,FALSE,1e-04,"ARL",TRUE,"bounded","average",1469.21333333333,534.433333333333,0.08,1
1,2,1000,0.0139495079396242,FALSE,1e-04,"ARL",TRUE,"bounded","product",1174.76333333333,399.353333333333,0.25,1
0,10,1000,0.0139495079396242,FALSE,1e-04,"ARL",TRUE,"oracle","joint",1102.99333333333,160.543333333333,0.09,1
0,10,1000,0.0139495079396242,FALSE,1e-04,"ARL",TRUE,"misspec","joint",Inf,1456.71428571429,0.00333333333333333,0.0233333333333333
0,10,1000,0.0139495079396242,FALSE,1e-04,"ARL",TRUE,"bounded","average",2019.98666666667,1019.98666666667,0,1
0,10,1000,0.0139495079396242,FALSE,1e-04,"ARL",TRUE,"bounded","product",1293.21666666667,324.686666666667,0.0433333333333333,1
1,10,1000,0.0139495079396242,FALSE,1e-04,"ARL",TRUE,"oracle","joint",1290.86333333333,336.82,0.07,1
1,10,1000,0.0139495079396242,FALSE,1e-04,"ARL",TRUE,"misspec","joint",Inf,1207.53846153846,0.973333333333333,0.0433333333333333
1,10,1000,0.0139495079396242,FALSE,1e-04,"ARL",TRUE,"bounded","average",1858.97666666667,862.09,0.00333333333333333,1
1,10,1000,0.0139495079396242,FALSE,1e-04,"ARL",TRUE,"bounded","product",581.846666666667,271.213333333333,0.73,1
0,2,10,0.0164754897244207,FALSE,1e-04,"ARL",TRUE,"oracle","joint",154.676666666667,144.676666666667,0,1
0,2,10,0.0164754897244207,FALSE,1e-04,"ARL",TRUE,"misspec","joint",Inf,1368.47826086957,0,0.383333333333333
0,2,10,0.0164754897244207,FALSE,1e-04,"ARL",TRUE,"bounded","average",267.943333333333,257.943333333333,0,1
0,2,10,0.0164754897244207,FALSE,1e-04,"ARL",TRUE,"bounded","product",186.226666666667,176.226666666667,0,1
1,2,10,0.0164754897244207,FALSE,1e-04,"ARL",TRUE,"oracle","joint",334.82,324.82,0,1
1,2,10,0.0164754897244207,FALSE,1e-04,"ARL",TRUE,"misspec","joint",Inf,1259.89308176101,0.00333333333333333,0.53
1,2,10,0.0164754897244207,FALSE,1e-04,"ARL",TRUE,"bounded","average",292.91,282.91,0,1
1,2,10,0.0164754897244207,FALSE,1e-04,"ARL",TRUE,"bounded","product",195.43,185.43,0,1
0,10,10,0.0164754897244207,FALSE,1e-04,"ARL",TRUE,"oracle","joint",149.163333333333,139.163333333333,0,1
0,10,10,0.0164754897244207,FALSE,1e-04,"ARL",TRUE,"misspec","joint",Inf,1625.5625,0,0.0533333333333333
0,10,10,0.0164754897244207,FALSE,1e-04,"ARL",TRUE,"bounded","average",639.096666666667,629.096666666667,0,1
0,10,10,0.0164754897244207,FALSE,1e-04,"ARL",TRUE,"bounded","product",203.15,193.15,0,1
1,10,10,0.0164754897244207,FALSE,1e-04,"ARL",TRUE,"oracle","joint",332.423333333333,322.423333333333,0,1
1,10,10,0.0164754897244207,FALSE,1e-04,"ARL",TRUE,"misspec","joint",Inf,1413.67567567568,0.963333333333333,0.123333333333333
1,10,10,0.0164754897244207,FALSE,1e-04,"ARL",TRUE,"bounded","average",622.853333333333,612.853333333333,0,1
1,10,10,0.0164754897244207,FALSE,1e-04,"ARL",TRUE,"bounded","product",125.023333333333,115.023333333333,0,1
0,2,1000,0.0164754897244207,FALSE,1e-04,"ARL",TRUE,"oracle","joint",1082.15666666667,127.473333333333,0.0833333333333333,1
0,2,1000,0.0164754897244207,FALSE,1e-04,"ARL",TRUE,"misspec","joint",Inf,926.723404255319,0.02,0.313333333333333
0,2,1000,0.0164754897244207,FALSE,1e-04,"ARL",TRUE,"bounded","average",1377.84333333333,383.266666666667,0.00666666666666667,1
0,2,1000,0.0164754897244207,FALSE,1e-04,"ARL",TRUE,"bounded","product",1268.98333333333,288.59,0.0333333333333333,1
1,2,1000,0.0164754897244207,FALSE,1e-04,"ARL",TRUE,"oracle","joint",1197.13333333333,253.133333333333,0.0833333333333333,1
1,2,1000,0.0164754897244207,FALSE,1e-04,"ARL",TRUE,"misspec","joint",Inf,933.40170940171,0.05,0.39
1,2,1000,0.0164754897244207,FALSE,1e-04,"ARL",TRUE,"bounded","average",1344.29,411.626666666667,0.0966666666666667,1
1,2,1000,0.0164754897244207,FALSE,1e-04,"ARL",TRUE,"bounded","product",1159.29333333333,323.896666666667,0.216666666666667,1
0,10,1000,0.0164754897244207,FALSE,1e-04,"ARL",TRUE,"oracle","joint",1088.18666666667,122.94,0.0633333333333333,1
0,10,1000,0.0164754897244207,FALSE,1e-04,"ARL",TRUE,"misspec","joint",Inf,1137.36363636364,0,0.0366666666666667
0,10,1000,0.0164754897244207,FALSE,1e-04,"ARL",TRUE,"bounded","average",1866.2,866.2,0,1
0,10,1000,0.0164754897244207,FALSE,1e-04,"ARL",TRUE,"bounded","product",1252.34666666667,289.573333333333,0.0466666666666667,1
